CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Compras;Pais Vasco;Araba/Alava;3,88;97;4,43;;;;;;;
Compras;Pais Vasco;Bizkaia;3,9;305;4,36;;;;;;;
Compras;Pais Vasco;Gipuzkoa;4,36;401;4,4;;;;;;;
Compras;Principado De Asturias;Asturias;4,46;1033;4,38;;;;;;;
Compras;Region De Murcia;Murcia;3,94;512;4,26;;;;;;;
Museos;Andalucia;Almeria;4,44;1793;4,26;;;;;;;
Museos;Andalucia;Cadiz;4,5;2202;4,31;;;;;;;
Museos;Andalucia;Cordoba;4,36;9928;4,31;;;;;;;
Museos;Andalucia;Granada;4,4;6059;4,41;;;;;;;
Museos;Andalucia;Huelva;4,24;2059;4,15;;;;;;;
Museos;Andalucia;Jaen;4,25;2265;4,39;;;;;;;
Museos;Andalucia;Malaga;4,49;25469;4,46;;;;;;;
Museos;Andalucia;Sevilla;4,35;9847;4,36;;;;;;;
Museos;Aragon;Huesca;4,36;2011;4,27;;;;;;;
Museos;Aragon;Teruel;4,21;925;4,28;;;;;;;
Museos;Aragon;Zaragoza;4,55;3222;4,22;;;;;;;
Museos;Canarias ;Las Palmas;4,3;11545;4,28;;;;;;;
Museos;Canarias;Santa Cruz de Tenerife;4,28;4090;4,29;;;;;;;
Museos;Cantabria;Cantabria;4,36;6188;4,31;;;;;;;
Museos;Castilla La Mancha;Albacete;4,14;479;4,14;;;;;;;
Museos;Castilla La Mancha;Ciudad;4,24;878;4,32;;;;;;;
Museos;Castilla La Mancha;Cuenca;4,51;2312;4,23;;;;;;;
Museos;Castilla La Mancha;Guadalajara;4,3;401;4,1;;;;;;;
Museos;Castilla La Mancha;Toledo;4,26;9463;4,23;;;;;;;
Museos;Castilla y Leon;Burgos;4,32;5219;4,33;;;;;;;
Museos;Castilla;Leon;4,31;1682;4,26;;;;;;;
Museos;Castilla;Palencia;4,57;1213;4,38;;;;;;;
Museos;Castilla;Salamanca;4,5;3166;4,21;;;;;;;
Museos;Castilla;Segovia;4,35;10691;4,1;;;;;;;
Museos;Castilla;Soria;4,05;275;3,96;;;;;;;
Museos;Castilla;Valladolid;4,32;3809;4,06;;;;;;;
Museos;Castilla;Zamora;4,25;487;4,21;;;;;;;
Museos;Castilla;Avila;4,51;250;4,24;;;;;;;
Museos;Cataluña;Barcelona;4,18;63719;4,12;;;;;;;
Museos;Cataluña;Girona;4,17;11602;4,28;;;;;;;
Museos;Cataluña;Lleida;4,34;1587;4,27;;;;;;;
Museos;Cataluña;Tarragona;4,38;2956;4,22;;;;;;;
Museos;Comunidad Foral De Navarra;Navarra;4,33;2292;4,27;;;;;;;
Museos;Comunidad De Madrid;Madrid;4,26;120493;4,19;;;;;;;
Museos;Comunitat Valenciana;Alicante/Alacant;4,23;6360;4,29;;;;;;;
Museos;Comunitat Valenciana;Castellon/Castello;3,89;455;4,27;;;;;;;
Museos;Comunitat Valenciana;Valencia/Valencia;4,27;27736;4,2;;;;;;;
Museos;Extremadura;Badajoz;4,38;2644;4,34;;;;;;;
Museos;Extremadura;Caceres;4,29;2592;4,39;;;;;;;
Museos;Galicia;A Coruña;4,31;3366;4,26;;;;;;;
Museos;Galicia;Lugo;4,35;997;4,29;;;;;;;
Museos;Galicia;Ourense;4,27;273;4,23;;;;;;;
Museos;Galicia;Pontevedra;3,94;1530;4,2;;;;;;;
Museos;Illes Baleares;Balears;4,09;6643;4,36;;;;;;;
Museos;La Rioja;Rioja;4,16;535;4,33;;;;;;;
Museos;Pais Vasco;Araba/Alava;4,38;1068;4,43;;;;;;;
Museos;Pais Vasco;Bizkaia;4,47;22472;4,36;;;;;;;
Museos;Pais Vasco;Gipuzkoa;4,47;2734;4,4;;;;;;;
Museos;Principado De Asturias;Asturias;4,39;10141;4,38;;;;;;;
Museos;Region De Murcia;Murcia;4,43;1091;4,26;;;;;;;
Otros;Andalucia;Almeria;4,34;67;4,26;;;;;;;
Otros;Andalucia;Cadiz;4,02;123;4,31;;;;;;;
Otros;Andalucia;Cordoba;4,14;163;4,31;;;;;;;
Otros;Andalucia;Granada;4,43;54;4,41;;;;;;;
Otros;Andalucia;Huelva;4,32;41;4,15;;;;;;;
Otros;Andalucia;Jaen;4,27;388;4,39;;;;;;;
Otros;Andalucia;Malaga;4,22;434;4,46;;;;;;;
Otros;Andalucia;Sevilla;3;2;4,36;;;;;;;
Otros;Aragon;Huesca;4,33;30;4,27;;;;;;;
Otros;Aragon;Teruel;4,02;2827;4,28;;;;;;;
Otros;Aragon;Zaragoza;3,79;73;4,22;;;;;;;
Otros;Canarias;Las Palmas;4,18;117;4,28;;;;;;;
Otros;Canarias;Santa Cruz de Tenerife;4,24;639;4,29;;;;;;;
Otros;Cantabria;Cantabria;4,3;112;4,31;;;;;;;
Otros;Castilla La Mancha;Albacete;3,36;26;4,14;;;;;;;
Otros;Castilla La Mancha;Ciudad Real;4,21;78;4,32;;;;;;;
Otros;Castilla La Mancha;Cuenca;4,46;1118;4,23;;;;;;;
Otros;Castilla La Mancha;Guadalajara;4,04;16;4,1;;;;;;;
Otros;Castilla La Mancha;Toledo;4,05;40;4,23;;;;;;;
Otros;Castilla y Leon;Burgos;4,44;69;4,33;;;;;;;
Otros;Castilla y Leon;Leon;3,97;64;4,26;;;;;;;
Otros;Castilla y Leon;Palencia;5;6;4,38;;;;;;;
Otros;Castilla y Leon;Salamanca;4,16;266;4,21;;;;;;;
Otros;Castilla y Leon;Segovia;4,34;22;4,1;;;;;;;
Otros;Castilla y Leon;Soria;3,86;31;3,96;;;;;;;
Otros;Castilla y Leon;Valladolid;4,42;30;4,06;;;;;;;
Otros;Castilla y Leon;Zamora;4,6;355;4,21;;;;;;;
Otros;Castilla y Leon;Avila;3,64;84;4,24;;;;;;;
Otros;Cataluña;Barcelona;4,12;1512;4,12;;;;;;;
Otros;Cataluña;Girona;4,03;336;4,28;;;;;;;
